51,ORD,2025-03-23T10:50:00,LAX,2025-03-23T13:40:00,UA,1484,291.51,6,2025-02-26
52,ORD,2025-03-23T13:55:00,LAX,2025-03-23T16:42:00,UA,378,403.50,9,2025-02-26
53,ORD,2025-03-23T07:00:00,LAX,2025-03-23T09:45:00,UA,2449,568.49,9,2025-02-26
54,ORD,2025-03-23T08:45:00,LAX,2025-03-23T11:34:00,UA,1584,568.49,9,2025-02-26
55,ORD,2025-03-23T15:50:00,SNA,2025-03-23T18:33:00,UA,1983,219.44,9,2025-02-26
56,ORD,2025-03-23T18:20:00,SNA,2025-03-23T20:58:00,AS,4236,253.47,7,2025-02-26
57,ORD,2025-03-23T08:20:00,SNA,2025-03-23T11:05:00,AS,4546,384.53,7,2025-02-26
58,ORD,2025-03-23T09:55:00,SNA,2025-03-23T12:42:00,AS,4238,615.51,7,2025-02-26
59,ORD,2025-03-23T09:03:00,SNA,2025-03-23T11:53:00,UA,1967,672.43,9,2025-02-26
60,ORD,2025-03-23T20:00:00,LGA,2025-03-23T23:12:00,UA,1576,178.50,6,2025-02-26
61,ORD,2025-03-23T18:00:00,LGA,2025-03-23T21:15:00,UA,2179,208.50,9,2025-02-26
62,ORD,2025-03-23T18:30:00,LGA,2025-03-23T21:46:00,UA,1293,208.50,9,2025-02-26
63,ORD,2025-03-23T07:00:00,LGA,2025-03-23T10:19:00,UA,3507,208.50,4,2025-02-26
64,ORD,2025-03-23T10:00:00,LGA,2025-03-23T13:19:00,UA,3449,208.50,1,2025-02-26
65,ORD,2025-03-23T06:00:00,LGA,2025-03-23T09:07:00,UA,382,243.46,9,2025-02-26
66,ORD,2025-03-23T17:00:00,LGA,2025-03-23T20:20:00,UA,5788,243.46,8,2025-02-26
67,ORD,2025-03-23T08:00:00,LGA,2025-03-23T11:11:00,UA,398,288.52,9,2025-02-26
68,ORD,2025-03-23T11:00:00,LGA,2025-03-23T14:12:00,UA,1677,288.52,9,2025-02-26
69,ORD,2025-03-23T16:00:00,LGA,2025-03-23T19:13:00,UA,1946,288.52,9,2025-02-26
70,ORD,2025-03-23T15:00:00,LGA,2025-03-23T18:20:00,UA,3592,288.52,9,2025-02-26
71,ORD,2025-03-23T14:00:00,LGA,2025-03-23T17:10:00,UA,2306,368.44,9,2025-02-26
72,ORD,2025-03-23T09:00:00,LGA,2025-03-23T12:11:00,UA,2661,368.44,9,2025-02-26
73,ORD,2025-03-23T12:00:00,LGA,2025-03-23T15:14:00,UA,1759,528.47,9,2025-02-26
74,ORD,2025-03-23T21:40:00,EWR,2025-03-24T00:45:00,UA,1633,243.46,9,2025-02-26
75,ORD,2025-03-23T09:05:00,EWR,2025-03-23T12:20:00,UA,1213,243.46,6,2025-02-26
76,ORD,2025-03-23T06:00:00,EWR,2025-03-23T09:08:00,UA,2679,338.44,9,2025-02-26
77,ORD,2025-03-23T14:20:00,EWR,2025-03-23T17:32:00,UA,2421,368.44,9,2025-02-26
78,ORD,2025-03-23T10:54:00,JFK,2025-03-23T14:04:00,B6,906,328.26,7,2025-02-26
79,LAX,2025-03-23T23:15:00,EWR,2025-03-24T07:10:00,UA,2303,183.45,9,2025-02-26
80,LAX,2025-03-23T10:55:00,EWR,2025-03-23T19:17:00,AS,286,253.30,7,2025-02-26
81,LAX,2025-03-23T07:00:00,EWR,2025-03-23T15:23:00,AS,284,253.30,7,2025-02-26
82,LAX,2025-03-23T21:10:00,EWR,2025-03-24T05:04:00,UA,2397,618.50,9,2025-02-26
83,LAX,2025-03-23T14:50:00,EWR,2025-03-23T22:46:00,UA,1939,618.50,9,2025-02-26
84,LAX,2025-03-23T06:00:00,EWR,2025-03-23T14:00:00,UA,1219,618.50,9,2025-02-26
85,LAX,2025-03-23T07:30:00,EWR,2025-03-23T15:30:00,UA,2133,618.50,9,2025-02-26
86,LAX,2025-03-23T13:15:00,EWR,2025-03-23T21:16:00,UA,1855,618.50,9,2025-02-26
87,LAX,2025-03-23T16:30:00,EWR,2025-03-24T00:41:00,UA,1700,618.50,9,2025-02-26
88,LAX,2025-03-23T08:40:00,EWR,2025-03-23T16:59:00,UA,2096,618.50,9,2025-02-26
89,LAX,2025-03-23T10:20:00,EWR,2025-03-23T18:39:00,UA,2127,618.50,9,2025-02-26
90,LAX,2025-03-23T11:40:00,EWR,2025-03-23T19:59:00,UA,1981,618.50,9,2025-02-26
91,LAX,2025-03-23T06:00:00,JFK,2025-03-23T14:20:00,B6,1316,218.34,7,2025-02-26
92,LAX,2025-03-23T06:00:00,JFK,2025-03-23T14:26:00,B6,2824,218.34,7,2025-02-26
93,LAX,2025-03-23T22:55:00,JFK,2025-03-24T07:23:00,B6,2924,253.30,3,2025-02-26
94,LAX,2025-03-23T11:05:00,JFK,2025-03-23T19:29:00,B6,724,293.30,2,2025-02-26
95,LAX,2025-03-23T09:30:00,JFK,2025-03-23T17:56:00,B6,224,293.30,2,2025-02-26
96,LAX,2025-03-23T14:15:00,JFK,2025-03-23T22:33:00,B6,524,338.27,7,2025-02-26
97,LAX,2025-03-23T08:30:00,JFK,2025-03-23T16:56:00,B6,424,338.27,7,2025-02-26
98,LAX,2025-03-23T22:40:00,JFK,2025-03-24T07:04:00,B6,1524,338.27,2,2025-02-26
99,LAX,2025-03-23T07:00:00,JFK,2025-03-23T15:30:00,6X,3669,445.30,9,2025-02-26
100,LAX,2025-03-23T06:30:00,JFK,2025-03-23T15:10:00,6X,3668,445.30,9,2025-02-26
101,SNA,2025-03-23T07:45:00,EWR,2025-03-23T15:59:00,UA,1785,378.44,9,2025-02-26
102,SNA,2025-03-23T21:10:00,EWR,2025-03-24T05:18:00,UA,2074,403.50,9,2025-02-26
103,SNA,2025-03-23T12:53:00,EWR,2025-03-23T20:58:00,UA,1559,768.43,9,2025-02-26
104,ORD,2025-03-24T08:45:00,LAX,2025-03-24T11:34:00,UA,1584,184.48,9,2025-02-26
105,ORD,2025-03-24T10:49:00,LAX,2025-03-24T13:39:00,UA,1484,184.48,9,2025-02-26
106,ORD,2025-03-24T17:50:00,LAX,2025-03-24T20:40:00,UA,298,184.48,9,2025-02-26
107,ORD,2025-03-24T20:00:00,LAX,2025-03-24T22:52:00,UA,2106,262.44,9,2025-02-26
108,ORD,2025-03-24T13:55:00,LAX,2025-03-24T16:42:00,UA,378,291.51,9,2025-02-26
109,ORD,2025-03-24T15:55:00,LAX,2025-03-24T18:45:00,UA,1124,291.51,9,2025-02-26
110,ORD,2025-03-24T12:55:00,LAX,2025-03-24T15:32:00,UA,1363,353.49,9,2025-02-26
111,ORD,2025-03-24T07:00:00,LAX,2025-03-24T09:45:00,UA,2449,353.49,9,2025-02-26
112,ORD,2025-03-24T18:20:00,SNA,2025-03-24T20:58:00,AS,4236,219.44,7,2025-02-26
113,ORD,2025-03-24T15:50:00,SNA,2025-03-24T18:33:00,UA,1983,219.44,9,2025-02-26
114,ORD,2025-03-24T08:20:00,SNA,2025-03-24T11:05:00,AS,4546,219.44,1,2025-02-26
115,ORD,2025-03-24T09:03:00,SNA,2025-03-24T11:53:00,UA,1967,532.50,9,2025-02-26
116,ORD,2025-03-24T20:00:00,LGA,2025-03-24T23:12:00,UA,1576,129.52,9,2025-02-26
117,ORD,2025-03-24T18:00:00,LGA,2025-03-24T21:15:00,UA,2179,129.52,9,2025-02-26
118,ORD,2025-03-24T18:30:00,LGA,2025-03-24T21:46:00,UA,1293,129.52,9,2025-02-26
119,ORD,2025-03-24T17:00:00,LGA,2025-03-24T20:20:00,UA,5788,129.52,8,2025-02-26
120,ORD,2025-03-24T10:00:00,LGA,2025-03-24T13:19:00,UA,3449,147.46,7,2025-02-26
121,ORD,2025-03-24T15:00:00,LGA,2025-03-24T18:20:00,UA,3592,147.46,8,2025-02-26
122,ORD,2025-03-24T14:00:00,LGA,2025-03-24T17:10:00,UA,2306,208.50,9,2025-02-26
123,ORD,2025-03-24T16:00:00,LGA,2025-03-24T19:13:00,UA,1946,208.50,9,2025-02-26
124,ORD,2025-03-24T08:00:00,LGA,2025-03-24T11:11:00,UA,398,243.46,9,2025-02-26
125,ORD,2025-03-24T09:00:00,LGA,2025-03-24T12:11:00,UA,2661,243.46,9,2025-02-26
126,ORD,2025-03-24T11:00:00,LGA,2025-03-24T14:12:00,UA,1677,288.52,9,2025-02-26
127,ORD,2025-03-24T12:00:00,LGA,2025-03-24T15:14:00,UA,1759,288.52,9,2025-02-26
128,ORD,2025-03-24T07:00:00,LGA,2025-03-24T10:19:00,UA,3507,288.52,9,2025-02-26
129,ORD,2025-03-24T06:00:00,LGA,2025-03-24T09:07:00,UA,382,368.44,9,2025-02-26
130,ORD,2025-03-24T21:40:00,EWR,2025-03-25T00:45:00,UA,1633,129.52,9,2025-02-26
131,ORD,2025-03-24T20:15:00,EWR,2025-03-24T23:28:00,UA,2362,129.52,9,2025-02-26
132,ORD,2025-03-24T18:11:00,EWR,2025-03-24T21:28:00,UA,534,129.52,9,2025-02-26
133,ORD,2025-03-24T07:10:00,EWR,2025-03-24T10:18:00,UA,563,178.50,9,2025-02-26
134,ORD,2025-03-24T09:05:00,EWR,2025-03-24T12:20:00,UA,1213,208.50,9,2025-02-26
135,ORD,2025-03-24T15:45:00,EWR,2025-03-24T19:00:00,UA,702,208.50,9,2025-02-26
136,ORD,2025-03-24T10:53:00,EWR,2025-03-24T14:05:00,UA,1536,243.46,9,2025-02-26
137,ORD,2025-03-24T11:49:00,EWR,2025-03-24T15:01:00,UA,2488,243.46,9,2025-02-26
138,ORD,2025-03-24T12:48:00,EWR,2025-03-24T16:00:00,UA,2238,243.46,9,2025-02-26
139,ORD,2025-03-24T14:20:00,EWR,2025-03-24T17:32:00,UA,2421,243.46,9,2025-02-26
140,ORD,2025-03-24T06:00:00,EWR,2025-03-24T09:08:00,UA,2679,288.52,9,2025-02-26
141,ORD,2025-03-24T10:54:00,JFK,2025-03-24T14:04:00,B6,906,193.28,3,2025-02-26
142,LAX,2025-03-24T07:00:00,EWR,2025-03-24T15:23:00,AS,284,163.27,7,2025-02-26
143,LAX,2025-03-24T21:10:00,EWR,2025-03-25T05:04:00,UA,2397,183.45,9,2025-02-26
144,LAX,2025-03-24T23:15:00,EWR,2025-03-25T07:10:00,UA,2303,183.45,9,2025-02-26
145,LAX,2025-03-24T10:55:00,EWR,2025-03-24T19:17:00,AS,286,208.33,7,2025-02-26
146,LAX,2025-03-24T14:50:00,EWR,2025-03-24T22:46:00,UA,1939,358.44,9,2025-02-26
147,LAX,2025-03-24T07:30:00,EWR,2025-03-24T15:30:00,UA,2133,358.44,9,2025-02-26
148,LAX,2025-03-24T13:15:00,EWR,2025-03-24T21:16:00,UA,1855,358.44,9,2025-02-26
149,LAX,2025-03-24T16:30:00,EWR,2025-03-25T00:41:00,UA,1700,358.44,9,2025-02-26
